id,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,priority,gender,discount_offered,weight_in_gms,exceeded_deadline,faixa_peso,faixa_desconto
1,D,Flight,4,2,177.0,3,low,F,44.0,1233.0,True,1000-2000,41-50%
2,F,Flight,4,5,216.0,2,low,M,59.0,3088.0,True,3001-4000,51-60%
3,A,Flight,2,2,183.0,4,low,M,48.0,3374.0,True,3001-4000,41-50%
4,B,Flight,3,3,176.0,4,medium,M,10.0,1177.0,True,1000-2000,6-10%
5,C,Flight,2,2,184.0,3,medium,F,46.0,2484.0,True,2001-3000,41-50%
6,F,Flight,3,1,162.0,3,medium,F,12.0,1417.0,True,1000-2000,11-20%
7,D,Flight,3,4,250.0,3,low,F,3.0,2371.0,True,2001-3000,0-5%
8,F,Flight,4,1,233.0,2,low,F,48.0,2804.0,True,2001-3000,41-50%
9,A,Flight,3,4,150.0,3,low,F,11.0,1861.0,True,1000-2000,11-20%
10,B,Flight,3,2,164.0,3,medium,F,29.0,1187.0,True,1000-2000,21-30%
11,C,Flight,3,4,189.0,2,medium,M,12.0,2888.0,True,2001-3000,11-20%
12,F,Flight,4,5,232.0,3,medium,F,32.0,3253.0,True,3001-4000,31-40%
13,D,Flight,3,5,198.0,3,medium,F,1.0,3667.0,True,3001-4000,0-5%
14,F,Flight,4,4,275.0,3,high,M,29.0,2602.0,True,2001-3000,21-30%
15,A,Flight,4,3,152.0,3,low,M,43.0,1009.0,True,1000-2000,41-50%
16,B,Flight,4,3,227.0,3,low,F,45.0,2707.0,True,2001-3000,41-50%
17,C,Flight,3,4,143.0,2,medium,F,6.0,1194.0,True,1000-2000,6-10%
18,F,Ship,5,5,227.0,3,medium,M,36.0,3952.0,True,3001-4000,31-40%
19,D,Ship,5,5,239.0,3,high,M,18.0,2495.0,True,2001-3000,11-20%
20,F,Ship,4,5,145.0,3,medium,M,45.0,1059.0,True,1000-2000,41-50%
21,A,Ship,3,3,161.0,2,medium,F,38.0,1521.0,True,1000-2000,31-40%
22,B,Ship,3,1,232.0,4,medium,F,51.0,2899.0,True,2001-3000,51-60%
23,C,Ship,2,5,156.0,2,low,M,2.0,1750.0,True,1000-2000,0-5%
24,F,Ship,4,3,211.0,3,high,M,12.0,3922.0,True,3001-4000,11-20%
25,D,Ship,4,5,251.0,2,medium,F,28.0,3561.0,True,3001-4000,21-30%
26,F,Ship,3,1,225.0,4,low,M,29.0,3496.0,True,3001-4000,21-30%
27,A,Ship,4,1,172.0,3,high,F,24.0,1066.0,True,1000-2000,21-30%
28,B,Ship,5,1,162.0,3,medium,M,31.0,1435.0,True,1000-2000,31-40%
29,C,Ship,2,3,234.0,4,low,M,44.0,3134.0,True,3001-4000,41-50%
30,F,Ship,5,4,183.0,2,low,F,36.0,3819.0,True,3001-4000,31-40%
31,D,Ship,3,4,266.0,2,medium,F,38.0,2741.0,True,2001-3000,31-40%
32,F,Ship,5,3,257.0,2,low,F,61.0,3341.0,True,3001-4000,60%+
33,A,Ship,3,1,223.0,3,low,F,22.0,3795.0,True,3001-4000,21-30%
34,B,Ship,4,2,234.0,3,medium,M,4.0,3261.0,True,3001-4000,0-5%
35,C,Ship,4,2,227.0,4,medium,F,22.0,2460.0,True,2001-3000,21-30%
36,F,Ship,5,4,149.0,3,medium,F,44.0,1811.0,True,1000-2000,41-50%
37,D,Ship,3,5,137.0,4,high,F,62.0,1477.0,True,1000-2000,60%+
38,F,Ship,2,4,181.0,6,medium,F,16.0,3605.0,True,3001-4000,11-20%
39,A,Ship,5,1,215.0,4,low,F,56.0,3905.0,True,3001-4000,51-60%
40,B,Ship,4,2,269.0,5,low,F,45.0,2383.0,True,2001-3000,41-50%
41,C,Ship,5,1,227.0,2,low,M,15.0,3798.0,True,3001-4000,11-20%
42,F,Ship,5,5,139.0,4,medium,M,61.0,1265.0,True,1000-2000,60%+
43,D,Ship,3,5,137.0,2,medium,M,38.0,1647.0,True,1000-2000,31-40%
44,F,Ship,3,1,174.0,2,low,M,44.0,1556.0,True,1000-2000,41-50%
45,A,Ship,3,1,151.0,2,low,M,29.0,1328.0,True,1000-2000,21-30%
46,B,Ship,5,1,210.0,3,low,F,9.0,2944.0,True,2001-3000,6-10%
47,C,Ship,3,4,169.0,4,medium,F,32.0,1245.0,True,1000-2000,31-40%
48,F,Ship,5,1,160.0,2,low,M,32.0,1576.0,True,1000-2000,31-40%
49,D,Ship,5,4,190.0,2,medium,M,9.0,3753.0,True,3001-4000,6-10%
50,F,Ship,5,3,216.0,3,low,F,40.0,2146.0,True,2001-3000,31-40%
51,A,Ship,4,1,183.0,3,low,M,37.0,2042.0,True,2001-3000,31-40%
52,B,Ship,4,4,141.0,3,low,M,22.0,1735.0,True,1000-2000,21-30%
53,C,Ship,4,3,165.0,3,low,F,44.0,1320.0,True,1000-2000,41-50%
54,F,Ship,2,1,170.0,3,low,M,41.0,1128.0,True,1000-2000,41-50%
55,D,Ship,4,3,203.0,3,high,M,12.0,3539.0,True,3001-4000,11-20%
56,F,Ship,2,5,246.0,5,low,M,46.0,2437.0,True,2001-3000,41-50%
57,A,Ship,3,3,238.0,3,low,F,61.0,3096.0,True,3001-4000,60%+
58,B,Ship,3,3,193.0,3,medium,F,29.0,3453.0,True,3001-4000,21-30%
59,C,Ship,5,5,141.0,3,high,M,41.0,1367.0,True,1000-2000,41-50%
60,F,Ship,4,1,150.0,3,high,F,17.0,1923.0,True,1000-2000,11-20%
61,D,Ship,3,1,221.0,3,low,F,64.0,2794.0,True,2001-3000,60%+
62,F,Ship,3,3,179.0,3,medium,M,52.0,1158.0,True,1000-2000,51-60%
63,A,Ship,5,1,105.0,6,medium,M,62.0,1292.0,True,1000-2000,60%+
64,B,Ship,3,1,177.0,3,medium,M,61.0,1880.0,True,1000-2000,60%+
65,C,Ship,4,5,261.0,2,high,M,49.0,3045.0,True,3001-4000,41-50%
66,F,Ship,3,2,202.0,3,low,M,49.0,2881.0,True,2001-3000,41-50%
67,D,Ship,3,2,109.0,3,medium,F,15.0,1710.0,True,1000-2000,11-20%
68,F,Ship,3,3,158.0,3,low,F,6.0,1878.0,True,1000-2000,6-10%
69,A,Ship,4,2,231.0,4,medium,F,6.0,2512.0,True,2001-3000,6-10%
70,B,Ship,3,5,206.0,3,medium,M,39.0,2929.0,True,2001-3000,31-40%
71,C,Ship,5,1,187.0,4,high,M,14.0,3849.0,True,3001-4000,11-20%
72,F,Ship,5,5,230.0,2,low,F,2.0,2229.0,True,2001-3000,0-5%
73,D,Ship,5,5,232.0,3,medium,F,33.0,2998.0,True,2001-3000,31-40%
74,F,Ship,4,5,215.0,3,medium,F,21.0,3984.0,True,3001-4000,21-30%
75,A,Ship,6,1,238.0,6,low,F,13.0,2442.0,True,2001-3000,11-20%
76,B,Ship,4,1,266.0,3,low,F,23.0,3775.0,True,3001-4000,21-30%
77,C,Ship,2,3,158.0,2,medium,F,36.0,1788.0,True,1000-2000,31-40%
